timestamp,region,region_name,fuel_type,generation_mwh
2024-01-01T10,PJM,"PJM Interconnection, LLC",Coal,12633
2024-01-01T10,PJM,"PJM Interconnection, LLC",Natural Gas,37411
2024-01-01T10,PJM,"PJM Interconnection, LLC",Nuclear,33778
2024-01-01T10,PJM,"PJM Interconnection, LLC",Petroleum,228
2024-01-01T10,PJM,"PJM Interconnection, LLC",Other,1051
2024-01-01T10,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-01T10,PJM,"PJM Interconnection, LLC",Hydro,1525
2024-01-01T10,PJM,"PJM Interconnection, LLC",Wind,3218
2024-01-01T11,PJM,"PJM Interconnection, LLC",Coal,12644
2024-01-01T11,PJM,"PJM Interconnection, LLC",Natural Gas,37229
2024-01-01T11,PJM,"PJM Interconnection, LLC",Nuclear,33784
2024-01-01T11,PJM,"PJM Interconnection, LLC",Petroleum,228
2024-01-01T11,PJM,"PJM Interconnection, LLC",Other,1035
2024-01-01T11,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-01T11,PJM,"PJM Interconnection, LLC",Hydro,1915
2024-01-01T11,PJM,"PJM Interconnection, LLC",Wind,3063
2024-01-01T12,PJM,"PJM Interconnection, LLC",Coal,13015
2024-01-01T12,PJM,"PJM Interconnection, LLC",Natural Gas,37635
2024-01-01T12,PJM,"PJM Interconnection, LLC",Nuclear,33770
2024-01-01T12,PJM,"PJM Interconnection, LLC",Petroleum,228
2024-01-01T12,PJM,"PJM Interconnection, LLC",Other,1053
2024-01-01T12,PJM,"PJM Interconnection, LLC",Solar,14
2024-01-01T12,PJM,"PJM Interconnection, LLC",Hydro,2134
2024-01-01T12,PJM,"PJM Interconnection, LLC",Wind,2948
2024-01-01T13,PJM,"PJM Interconnection, LLC",Coal,13321
2024-01-01T13,PJM,"PJM Interconnection, LLC",Natural Gas,38569
2024-01-01T13,PJM,"PJM Interconnection, LLC",Nuclear,33796
2024-01-01T13,PJM,"PJM Interconnection, LLC",Petroleum,225
2024-01-01T13,PJM,"PJM Interconnection, LLC",Other,1071
2024-01-01T13,PJM,"PJM Interconnection, LLC",Solar,257
2024-01-01T13,PJM,"PJM Interconnection, LLC",Hydro,2080
2024-01-01T13,PJM,"PJM Interconnection, LLC",Wind,2478
2024-01-01T14,PJM,"PJM Interconnection, LLC",Coal,13468
2024-01-01T14,PJM,"PJM Interconnection, LLC",Natural Gas,39426
2024-01-01T14,PJM,"PJM Interconnection, LLC",Nuclear,33784
2024-01-01T14,PJM,"PJM Interconnection, LLC",Petroleum,224
2024-01-01T14,PJM,"PJM Interconnection, LLC",Other,1084
2024-01-01T14,PJM,"PJM Interconnection, LLC",Solar,934
2024-01-01T14,PJM,"PJM Interconnection, LLC",Hydro,2120
2024-01-01T14,PJM,"PJM Interconnection, LLC",Wind,2094
2024-01-01T15,PJM,"PJM Interconnection, LLC",Coal,14312
2024-01-01T15,PJM,"PJM Interconnection, LLC",Natural Gas,39831
2024-01-01T15,PJM,"PJM Interconnection, LLC",Nuclear,33781
2024-01-01T15,PJM,"PJM Interconnection, LLC",Petroleum,220
2024-01-01T15,PJM,"PJM Interconnection, LLC",Other,1097
2024-01-01T15,PJM,"PJM Interconnection, LLC",Solar,1496
2024-01-01T15,PJM,"PJM Interconnection, LLC",Hydro,1379
2024-01-01T15,PJM,"PJM Interconnection, LLC",Wind,2005
2024-01-01T16,PJM,"PJM Interconnection, LLC",Coal,14562
2024-01-01T16,PJM,"PJM Interconnection, LLC",Natural Gas,39998
2024-01-01T16,PJM,"PJM Interconnection, LLC",Nuclear,33659
2024-01-01T16,PJM,"PJM Interconnection, LLC",Petroleum,218
2024-01-01T16,PJM,"PJM Interconnection, LLC",Other,1169
2024-01-01T16,PJM,"PJM Interconnection, LLC",Solar,1963
2024-01-01T16,PJM,"PJM Interconnection, LLC",Hydro,1887
2024-01-01T16,PJM,"PJM Interconnection, LLC",Wind,1713
2024-01-01T17,PJM,"PJM Interconnection, LLC",Coal,14787
2024-01-01T17,PJM,"PJM Interconnection, LLC",Natural Gas,40221
2024-01-01T17,PJM,"PJM Interconnection, LLC",Nuclear,33613
2024-01-01T17,PJM,"PJM Interconnection, LLC",Petroleum,218
2024-01-01T17,PJM,"PJM Interconnection, LLC",Other,1165
2024-01-01T17,PJM,"PJM Interconnection, LLC",Solar,1506
2024-01-01T17,PJM,"PJM Interconnection, LLC",Hydro,1926
2024-01-01T17,PJM,"PJM Interconnection, LLC",Wind,1535
2024-01-01T18,PJM,"PJM Interconnection, LLC",Coal,15269
2024-01-01T18,PJM,"PJM Interconnection, LLC",Natural Gas,40991
2024-01-01T18,PJM,"PJM Interconnection, LLC",Nuclear,33425
2024-01-01T18,PJM,"PJM Interconnection, LLC",Petroleum,217
2024-01-01T18,PJM,"PJM Interconnection, LLC",Other,1077
2024-01-01T18,PJM,"PJM Interconnection, LLC",Solar,1308
2024-01-01T18,PJM,"PJM Interconnection, LLC",Hydro,1887
2024-01-01T18,PJM,"PJM Interconnection, LLC",Wind,1630
2024-01-01T19,PJM,"PJM Interconnection, LLC",Coal,15151
2024-01-01T19,PJM,"PJM Interconnection, LLC",Natural Gas,41529
2024-01-01T19,PJM,"PJM Interconnection, LLC",Nuclear,33122
2024-01-01T19,PJM,"PJM Interconnection, LLC",Petroleum,217
2024-01-01T19,PJM,"PJM Interconnection, LLC",Other,1076
2024-01-01T19,PJM,"PJM Interconnection, LLC",Solar,982
2024-01-01T19,PJM,"PJM Interconnection, LLC",Hydro,1951
2024-01-01T19,PJM,"PJM Interconnection, LLC",Wind,1811
2024-01-01T20,PJM,"PJM Interconnection, LLC",Coal,15103
2024-01-01T20,PJM,"PJM Interconnection, LLC",Natural Gas,41622
2024-01-01T20,PJM,"PJM Interconnection, LLC",Nuclear,32896
2024-01-01T20,PJM,"PJM Interconnection, LLC",Petroleum,215
2024-01-01T20,PJM,"PJM Interconnection, LLC",Other,1078
2024-01-01T20,PJM,"PJM Interconnection, LLC",Solar,637
2024-01-01T20,PJM,"PJM Interconnection, LLC",Hydro,2546
2024-01-01T20,PJM,"PJM Interconnection, LLC",Wind,1894
2024-01-01T21,PJM,"PJM Interconnection, LLC",Coal,15638
2024-01-01T21,PJM,"PJM Interconnection, LLC",Natural Gas,43093
2024-01-01T21,PJM,"PJM Interconnection, LLC",Nuclear,32732
2024-01-01T21,PJM,"PJM Interconnection, LLC",Petroleum,215
2024-01-01T21,PJM,"PJM Interconnection, LLC",Other,1051
2024-01-01T21,PJM,"PJM Interconnection, LLC",Solar,136
2024-01-01T21,PJM,"PJM Interconnection, LLC",Hydro,3233
2024-01-01T21,PJM,"PJM Interconnection, LLC",Wind,2016
2024-01-01T22,PJM,"PJM Interconnection, LLC",Coal,16309
2024-01-01T22,PJM,"PJM Interconnection, LLC",Natural Gas,45200
2024-01-01T22,PJM,"PJM Interconnection, LLC",Nuclear,32740
2024-01-01T22,PJM,"PJM Interconnection, LLC",Petroleum,214
2024-01-01T22,PJM,"PJM Interconnection, LLC",Other,1070
2024-01-01T22,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-01T22,PJM,"PJM Interconnection, LLC",Hydro,4776
2024-01-01T22,PJM,"PJM Interconnection, LLC",Wind,1865
2024-01-01T23,PJM,"PJM Interconnection, LLC",Coal,15872
2024-01-01T23,PJM,"PJM Interconnection, LLC",Natural Gas,45358
2024-01-01T23,PJM,"PJM Interconnection, LLC",Nuclear,32644
2024-01-01T23,PJM,"PJM Interconnection, LLC",Petroleum,213
2024-01-01T23,PJM,"PJM Interconnection, LLC",Other,1077
2024-01-01T23,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-01T23,PJM,"PJM Interconnection, LLC",Hydro,5059
2024-01-01T23,PJM,"PJM Interconnection, LLC",Wind,1876
2024-01-02T00,PJM,"PJM Interconnection, LLC",Coal,15638
2024-01-02T00,PJM,"PJM Interconnection, LLC",Natural Gas,45068
